example_idx,task_txt,program1_idx,plan1_grid_path,program2_idx,plan2_grid_path
1,Task: How to Muddle,1,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,2,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png
2,Task: How to Muddle,3,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,4,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
3,Task: How to Muddle,5,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,6,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
4,Task: How to Muddle,7,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,8,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
5,Task: How to Muddle,9,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_0_bridge.png,10,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_0.png
6,Task: How to Get Kids to Eat Healthy,11,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,12,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png
7,Task: How to Get Kids to Eat Healthy,13,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,14,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
8,Task: How to Get Kids to Eat Healthy,15,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,16,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
9,Task: How to Get Kids to Eat Healthy,17,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,18,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
10,Task: How to Get Kids to Eat Healthy,19,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/u-plan/plan_grid_task_1_bridge.png,20,https://mpp-ig.s3.us-west-1.amazonaws.com/exp/all_plan_grid/experiment_output/wikihow/vgt-u-plan/plan_grid_task_1.png
